sec_code,name,market,sector33,period_end,scope,price,market_cap,beta,cost_of_equity_pct,interest_bearing_debt,cost_of_debt_after_tax_pct,wacc_pct,fcf0,ev,implied_growth_pct,operating_income,projected_operating_income_10y
4212,積水樹脂,プライム（内国株式）,化学,2026-03-31,連結,2937.0,93434781000.0,0.6525148152382197,6.7150888914293185,14258000000.0,1.143919203254313,5.9774931428897835,5206000000.0,92390781000.0,-0.6658057843010046,5685000000.0,5317631042.025779
4290,プレステージ・インターナショナル,プライム（内国株式）,サービス業,2026-03-31,連結,726.0,92329993800.0,0.2908753228414794,4.545251937048876,6000000000.0,0.5509933333333332,4.301526185666868,2656774000.0,70268548800.0,-0.6887129176268936,8869912000.0,8277618664.418242
8276,平和堂,プライム（内国株式）,小売業,2026-02-20,連結,2687.0,138504102000.0,-0.1037233948148168,2.177659631111099,21241000000.0,0.41853020102631705,1.9437515628409943,1562000000.0,140580102000.0,-0.8113738152684291,13313000000.0,12271416114.086891
4095,日本パーカライジング,プライム（内国株式）,化学,2026-03-31,連結,1747.0,231660103428.0,0.7475154331895023,7.2850925991370135,250000000.0,2.2399999999999998,7.279653969551063,12773000000.0,178061103428.0,-0.8720894879187424,14814000000.0,13571625260.73201
7962,キングジム,プライム（内国株式）,その他製品,2025-06-20,連結,808.0,25419431136.0,0.1294754130244928,3.5768524781469564,6278288000.0,0.7212412046086449,3.0112486908713425,600968000.0,25298264136.0,-0.9352018748832125,537715000.0,489492160.0302317
3788,ＧＭＯグローバルサイン・ホールディングス,プライム（内国株式）,情報・通信業,2025-12-31,連結,2125.0,24847625000.0,0.7359084047002385,7.215450428201431,2352500000.0,0.966818278427205,6.675015149600915,1189467000.0,18168972000.0,-0.9542826985699804,1475276000.0,1340387264.6848898
2695,くら寿司,プライム（内国株式）,小売業,2025-10-31,連結,1771.0,73318691600.0,0.4091177530725742,5.2547065184354445,1172000000.0,22.158703071672353,5.520665707897362,2649000000.0,50318691600.0,-0.9808609442077232,5460000000.0,4947480624.834662
6486,イーグル工業,プライム（内国株式）,機械,2026-03-31,連結,3045.0,151510065000.0,1.1776618089265636,9.865970853559382,38165000000.0,1.2398794707192453,8.130293169061982,12935000000.0,157521065000.0,-1.0445723684565922,13468000000.0,12125490256.142704
8075,神鋼商事,プライム（内国株式）,卸売業,2026-03-31,連結,3100.0,82401100000.0,1.0497182362554942,9.098309417532965,53396000000.0,2.089669638175144,6.342482307391509,7368000000.0,118370100000.0,-1.0541244188251808,11577000000.0,10412931056.973778
5930,文化シヤッター,プライム（内国株式）,金属製品,2026-03-31,連結,1888.0,136306967456.0,0.4000985139977571,5.200591083986542,13640000000.0,2.940615835777126,4.995011318629687,5324000000.0,113242967456.0,-1.0636988040821749,15569000000.0,13989990444.989819
4951,エステー,プライム（内国株式）,化学,2026-03-31,連結,1531.0,35213000000.0,0.322476784758767,4.734860708552602,397000000.0,4.231738035264484,4.729251618373007,1143000000.0,25491000000.0,-1.294416055354758,1986000000.0,1743397687.803791
7593,ＶＴホールディングス,プライム（内国株式）,小売業,2026-03-31,連結,534.0,65458272156.0,0.6056466872234821,6.433880123340892,86921000000.0,1.646092428757147,3.702804641008453,4558000000.0,138814272156.0,-1.3120044802744923,11003000000.0,9641717281.881851
3153,八洲電機,プライム（内国株式）,卸売業,2026-03-31,連結,3090.0,67306380000.0,1.158281604385088,9.749689626310527,700000000.0,0.6,9.655510481083015,5201000000.0,51572380000.0,-1.331442083179818,7289000000.0,6374641396.930404
3837,アドソル日進,プライム（内国株式）,情報・通信業,2026-03-31,連結,1448.0,25034472000.0,0.9070766227928372,8.242459736757024,0.0,0.0,8.242459736757024,1882126000.0,22093067000.0,-1.3422475748006868,2145099000.0,1873956536.4267201
5185,フコク,プライム（内国株式）,ゴム製品,2026-03-31,連結,2067.0,32884171710.0,1.0574772390735196,9.144863434441117,16446000000.0,0.8214763468320564,6.369960787688934,2265000000.0,35390171710.0,-1.3436840006431805,3806000000.0,3324434074.300576
3697,ＳＨＩＦＴ,プライム（内国株式）,情報・通信業,2025-08-31,連結,963.2999877929688,257683392145.61096,0.5405515207793549,6.043309124676129,12036000000.0,0.6804586241276172,5.803996451934544,14169000000.0,246119392145.61096,-1.3581812958110617,15628000000.0,13630572968.498465
8217,オークワ,プライム（内国株式）,小売業,2026-02-20,連結,805.0,33759285000.0,0.4549008510090417,5.52940510605425,21781000000.0,0.6074101280932923,3.59916703444609,1419000000.0,44541285000.0,-1.4011811351238135,1878000000.0,1630845098.3265958
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,プライム（内国株式）,小売業,2025-09-30,連結,5990.0,695254412160.0,0.480787370424843,5.6847242225490575,80528000000.0,0.46505563282336576,5.142910608828281,36092000000.0,716960412160.0,-1.4612250439340058,36093000000.0,31152619405.631012
2784,アルフレッサ　ホールディングス,プライム（内国株式）,卸売業,2026-03-31,連結,2314.0,442668200000.0,-0.0180798491296036,2.691520905222378,30000000000.0,0.826,2.5731172826459674,5527000000.0,281984200000.0,-1.468869496417241,36164000000.0,31189694278.74524
1929,日特建設,プライム（内国株式）,建設業,2026-03-31,連結,1181.0,49335094000.0,0.5390378094371393,6.034226856622835,519000000.0,1.4836223506743735,5.986853340245479,1945000000.0,32155094000.0,-1.5266971239831062,5827000000.0,4996087842.98703
2053,中部飼料,プライム（内国株式）,食料品,2026-03-31,連結,2002.0,60802742000.0,0.4396704434371244,5.438022660622746,9375000000.0,0.43306666666666666,4.7694137668891985,2727000000.0,58346742000.0,-1.661973645139031,6584000000.0,5568070169.586708
7611,ハイデイ日高,プライム（内国株式）,小売業,2026-02-28,個別,2995.0,114250612420.0,0.0978683407053375,3.3872100442320248,0.0,0.0,3.3872100442320248,3106936000.0,103007857420.0,-1.7156449454082734,6584163000.0,5537892172.784367
6472,ＮＴＮ,プライム（内国株式）,機械,2026-03-31,連結,372.2000122070313,222401789894.10403,1.5183055743183822,11.909833445910294,309172000000.0,1.7712147283712625,6.01304717515864,24715000000.0,400318789894.104,-1.7194974271278862,31034000000.0,26092244668.08648
2587,サントリービバレッジ＆フード,プライム（内国株式）,食料品,2025-12-31,連結,4531.0,1400079000000.0,0.1661904703586637,3.797142822151982,15456000000.0,17.925724637681157,3.951410544632047,47007000000.0,1266872000000.0,-1.7272578412115103,148739000000.0,124955565163.052
4577,ダイト,プライム（内国株式）,医薬品,2025-05-31,連結,1351.0,20735148000.0,0.6478251509163764,6.686950905498258,9668000000.0,0.8905668183698798,4.843739098801229,1353000000.0,28196148000.0,-1.751247614160717,2619000000.0,2194855534.6292396
8167,リテールパートナーズ,プライム（内国株式）,小売業,2026-02-28,連結,1418.0,66144111662.0,0.6395199208315326,6.637119524989195,13713000000.0,0.5513016845329248,5.592067702937274,3439000000.0,60312111662.0,-1.773397498221535,6468000000.0,5408305789.010678
4928,ノエビアホールディングス,プライム（内国株式）,化学,2025-09-30,連結,4935.0,168559860000.0,0.1951580922510886,3.970948553506531,0.0,0.0,3.970948553506531,5373000000.0,141836860000.0,-1.8904935991094496,11075000000.0,9150706842.881914
6200,インソース,プライム（内国株式）,サービス業,2025-09-30,連結,741.0,63165063000.0,0.7588348821929412,7.353009293157647,0.0,0.0,7.353009293157647,4315937000.0,54973805000.0,-1.9154162817834164,5978600000.0,4927277591.05777
8179,ロイヤルホールディングス,プライム（内国株式）,小売業,2025-12-31,連結,1394.0,69507435628.0,0.5211022628331172,5.926613576998703,26500000000.0,3.2543396226415093,5.189011751397887,4053000000.0,76441435628.0,-1.9577824181428005,7685000000.0,6306307308.753707
3844,コムチュア,プライム（内国株式）,情報・通信業,2026-03-31,連結,1371.0,44203233600.0,0.6696258403664814,6.817755042198889,200000000.0,0.7,6.790199593884878,2423000000.0,33577233600.0,-1.960163765422246,4660000000.0,3823065053.440563
6298,ワイエイシイホールディングス,プライム（内国株式）,機械,2026-03-31,連結,1319.0,25742923000.0,1.3600842839010323,10.960505703406195,18759000000.0,0.7873554027400181,6.672193791801908,2561000000.0,36103923000.0,-1.990216967636299,1319000000.0,1078795368.7877688
6445,ジャノメ,プライム（内国株式）,機械,2026-03-31,連結,1431.0,25913413755.0,0.6998242860545694,6.998945716327416,2669000000.0,0.9441738478831021,6.4335565838560225,1392000000.0,20432413755.0,-1.9945820981385476,1910000000.0,1561472054.0683885
3496,アズーム,プライム（内国株式）,不動産業,2025-09-30,連結,4995.0,30650319000.0,0.5506545311453103,6.103927186871862,72416000.0,0.9492377375165708,6.091777162104714,1609137000.0,24985632000.0,-2.0626996582992216,2613460000.0,2121764319.7456675
1873,日本ハウスホールディングス,プライム（内国株式）,建設業,2026-04-30,連結,330.0,13200000000.0,0.5886408342909143,6.331845005745485,10816000000.0,1.268491124260355,4.051480432871436,673000000.0,17036000000.0,-2.074616700205839,2380000000.0,1929877569.5231748
6788,日本トリム,プライム（内国株式）,電気機器,2026-03-31,連結,4935.0,42721209300.0,0.7127775537610749,7.076665322566449,1073489000.0,0.35929571704973223,6.912010177985707,2253670000.0,30085451300.0,-2.1896780331487617,2940537000.0,2356533040.765685
4554,富士製薬工業,プライム（内国株式）,医薬品,2025-09-30,連結,1830.0,45550713000.0,0.7799593347125724,7.479756008275435,25533000000.0,0.9047115497591353,5.118024986159346,3409000000.0,63838713000.0,-2.239881825104445,4990000000.0,3978484995.2720494
1375,ユキグニファクトリー,プライム（内国株式）,水産・農林業,2026-03-31,連結,1179.0,47054715300.0,0.3805981714250399,5.083589028550239,0.0,0.0,5.083589028550239,2292000000.0,43086715300.0,-2.289690974872677,4319000000.0,3425997740.4643035
7157,ライフネット生命保険,プライム（内国株式）,保険業,2026-03-31,連結,1461.0,117377862048.0,0.7099496452356757,7.059697871414055,0.0,0.0,7.059697871414055,8022000000.0,103779862048.0,-2.296667031480953,,
6436,アマノ,プライム（内国株式）,機械,2026-03-31,連結,3990.0,283713454710.0,0.5211358313308374,5.926814987985024,708000000.0,24.420903954802256,5.972851652138427,15127000000.0,235548454710.0,-2.3074086763388566,22551000000.0,17855914608.940147
4088,エア・ウォーター,プライム（内国株式）,化学,2026-03-31,連結,2505.0,575536275000.0,0.5543032498126954,6.125819498876172,468455000000.0,0.6586758600078982,3.672627758029452,33977000000.0,956852275000.0,-2.314707463396565,-37157000000.0,-29398993120.579144
4768,大塚商会,プライム（内国株式）,情報・通信業,2025-12-31,連結,3652.0,1387774608000.0,0.5282061085163672,5.969236651098203,6000000000.0,0.7816666666666666,5.946904905543409,72940000000.0,1140154608000.0,-2.3211152396329595,89943000000.0,71117141735.47806
4828,ビジネスエンジニアリング,プライム（内国株式）,情報・通信業,2026-03-31,連結,1453.0,87180000000.0,0.5087704794399504,5.8526228766397015,100000000.0,2.5984,5.848894390300748,4734985000.0,75138401000.0,-2.3689343509883996,6411787000.0,5044979240.490812
1976,明星工業,プライム（内国株式）,建設業,2026-03-31,連結,1735.0,95627995000.0,1.0001920416337078,8.801152249802247,800000000.0,0.6125,8.733216358364892,5837000000.0,59731995000.0,-2.387861098381144,7675000000.0,6027214901.722573
9532,大阪瓦斯,プライム（内国株式）,電気・ガス業,2026-03-31,連結,5657.0,2250812817000.0,0.1634338280554121,3.7806029683324724,794219000000.0,1.2146146088169636,3.111330254159697,85241000000.0,2986539817000.0,-2.4207995259359514,174809000000.0,136815827629.17255
3983,オロ,プライム（内国株式）,情報・通信業,2025-12-31,連結,2119.0,33796043307.0,0.7342749223089685,7.205649533853811,0.0,0.0,7.205649533853811,1897102000.0,23738004307.0,-2.4416460520667984,2649270000.0,2069049411.9021254
1926,ライト工業,プライム（内国株式）,建設業,2026-03-31,連結,3805.0,163502562250.0,0.699967539839246,6.999805239035475,1744000000.0,4.655963302752294,6.975068504538732,10448000000.0,135271562250.0,-2.458681241871302,17201000000.0,13410344214.596466
5406,神戸製鋼所,プライム（内国株式）,鉄鋼,2026-03-31,連結,2027.5,803591515000.0,0.9622855082694822,8.573713049616893,707073000000.0,1.3269916967554976,5.181854065538112,73121000000.0,1321636515000.0,-2.4903848770036987,129883000000.0,100931501441.49678
7994,オカムラ,プライム（内国株式）,その他製品,2026-03-31,連結,2378.0,239276787938.0,0.7146898365290811,7.088139019174487,30025000000.0,1.1726894254787676,6.428613601944043,16998000000.0,237440787938.0,-2.637079401020287,24144000000.0,18481837697.796116
9722,藤田観光,プライム（内国株式）,サービス業,2025-12-31,連結,3005.0,183416545600.0,0.3581418789678724,4.948851273807234,27655000000.0,1.1162538419815584,4.446696984483931,9288000000.0,198826545600.0,-2.6621596948053936,13795000000.0,10532676981.749758
4323,日本システム技術,プライム（内国株式）,情報・通信業,2026-03-31,連結,1975.0,49052917000.0,0.603423527361951,6.420541164171706,54860000.0,10.387714181553045,6.424973030670845,2899256000.0,40297605000.0,-2.7086787835554347,3911337000.0,2972119367.9385867
9068,丸全昭和運輸,プライム（内国株式）,陸運業,2026-03-31,連結,7450.0,153604100000.0,0.6466811286973507,6.680086772184104,23413000000.0,0.9896211506428052,5.927442696571373,8993000000.0,136615100000.0,-2.723797024388314,15462000000.0,11730911852.84452
3091,ブロンコビリー,プライム（内国株式）,小売業,2025-12-31,連結,2840.0,42824360000.0,0.3650429325350659,4.990257595210395,55000000.0,0.0,4.983856749494961,1833000000.0,34017360000.0,-2.7248072587942094,2930000000.0,2222739770.63693
5261,リソルホールディングス,プライム（内国株式）,サービス業,2026-03-31,連結,7820.0,43512044000.0,0.5236558411278391,5.941935046767035,12192000000.0,1.1999671916010497,4.904055784532793,2736000000.0,51735044000.0,-2.7299348969027912,3303000000.0,2504382377.7997966
9716,乃村工藝社,プライム（内国株式）,サービス業,2026-02-28,連結,1257.0,150710011116.0,0.7997668802689658,7.598601281613795,0.0,0.0,7.598601281613795,9809000000.0,113158011116.0,-2.7624999034595534,12818000000.0,9686304479.13289
4719,アルファシステムズ,プライム（内国株式）,情報・通信業,2026-03-31,個別,3405.0,47848422000.0,0.6491086875285447,6.694652125171268,0.0,0.0,6.694652125171268,2100546000.0,27774177000.0,-2.768374126732903,4945023000.0,3734597440.536869
2121,ＭＩＸＩ,プライム（内国株式）,情報・通信業,2026-03-31,連結,3595.0,256434405750.0,0.423898323505096,5.343389941030576,45150000000.0,0.6945736434108527,4.647418757389459,9495000000.0,190394405750.0,-2.7977776025570886,22256000000.0,16757493461.43515
9416,ビジョン,プライム（内国株式）,情報・通信業,2025-12-31,連結,1055.0,53740223000.0,0.2618713637167062,4.3712281823002375,1932916000.0,0.28258341283325294,4.229274503467452,1875524000.0,42073605000.0,-2.8384496320099704,6465163000.0,4847567211.957078
9934,因幡電機産業,プライム（内国株式）,卸売業,2026-03-31,連結,3062.0,348023858000.0,0.6442641431716578,6.665584859029947,247000000.0,6.518218623481781,6.665480344226757,20602000000.0,272068858000.0,-2.8461336757554188,29711000000.0,22259640880.08092
7282,豊田合成,プライム（内国株式）,輸送用機器,2026-03-31,連結,5407.0,635938898000.0,1.466918202787277,11.601509216723663,123337000000.0,1.8604311763704322,10.019165637232026,73163000000.0,627461898000.0,-2.8925579727952897,79551000000.0,59315853738.26541
7856,萩原工業,プライム（内国株式）,その他製品,2025-10-31,連結,1905.0,28379928000.0,0.8232750002717805,7.739650001630682,4523345000.0,0.6995597284752766,6.771820535649406,2178489000.0,28041740000.0,-2.9538457072614435,1467897000.0,1087624252.0935457
2157,コシダカホールディングス,プライム（内国株式）,サービス業,2025-08-31,連結,1016.0,85121983680.0,0.3654853739441986,4.992912243665192,8525060000.0,0.6618956347521308,4.5986427077453325,4165844000.0,83207628680.0,-2.99350066332717,11392944000.0,8407062730.468517
2359,コア,プライム（内国株式）,情報・通信業,2026-03-31,連結,2157.0,31998189060.0,0.6395405166011141,6.6372430996066845,1662984000.0,0.8453538939641031,6.351102772245309,1856681000.0,25473766060.0,-3.0369538487342638,3819602000.0,2805954462.324794
6184,鎌倉新書,プライム（内国株式）,サービス業,2026-01-31,連結,599.0,24675788228.0,0.1793602740720063,3.8761616444320377,54214000.0,1.1129966429335594,3.870104134771904,833306000.0,20536502228.0,-3.0475516976203485,1161949000.0,852658003.1301103
4022,ラサ工業,プライム（内国株式）,化学,2026-03-31,連結,2146.0,17047824000.0,1.7778266297638976,13.466959778583387,7507000000.0,1.1376049020913814,9.697579592521965,2251000000.0,19731824000.0,-3.05765269216986,6012000000.0,4407114000.279209
5901,東洋製罐グループホールディングス,プライム（内国株式）,金属製品,2026-03-31,連結,4513.0,691220106000.0,0.353680371269445,4.92208222761667,203489000000.0,1.3271479048007508,4.10446498698529,34185000000.0,779797106000.0,-3.077115995552165,52005000000.0,38045945765.286575
