edinet_code,sec_code,doc_id,filer_name,period_end,submit_date,doc_description
E33594,6235,S100XTSL,株式会社オプトラン,2025-12-31,2026-03-25,有価証券報告書－第27期(2025/01/01－2025/12/31)
E01141,5337,S100XSWN,ダントーホールディングス株式会社,2025-12-31,2026-03-25,有価証券報告書－第198期(2025/01/01－2025/12/31)
E01379,5851,S100XT40,リョービ株式会社,2025-12-31,2026-03-25,有価証券報告書－第114期(2025/01/01－2025/12/31)
E02030,6871,S100XTD8,株式会社日本マイクロニクス,2025-12-31,2026-03-25,有価証券報告書－第55期(2025/01/01－2025/12/31)
E03092,8165,S100XRKS,株式会社千趣会,2025-12-31,2026-03-25,有価証券報告書－第81期(2025/01/01－2025/12/31)
E00011,1911,S100XTVO,住友林業株式会社,2025-12-31,2026-03-25,有価証券報告書－第86期(2025/01/01－2025/12/31)
E38335,5257,S100XT6D,ノバシステム株式会社,2025-12-31,2026-03-25,有価証券報告書－第44期(2025/01/01－2025/12/31)
E27047,3667,S100XTDL,株式会社ｅｎｉｓｈ,2025-12-31,2026-03-25,有価証券報告書－第17期(2025/01/01－2025/12/31)
E00762,4025,S100XS6V,多木化学株式会社,2025-12-31,2026-03-25,有価証券報告書－第107期(2025/01/01－2025/12/31)
E00883,4452,S100XT6G,花王株式会社,2025-12-31,2026-03-25,有価証券報告書－第120期(2025/01/01－2025/12/31)
E00887,4463,S100XTLN,日華化学株式会社,2025-12-31,2026-03-25,有価証券報告書－第112期(2025/01/01－2025/12/31)
E34290,7038,S100XTFR,フロンティア・マネジメント株式会社,2025-12-31,2026-03-25,有価証券報告書－第19期(2025/01/01－2025/12/31)
E05033,4722,S100XTFP,フューチャー株式会社,2025-12-31,2026-03-25,有価証券報告書－第37期(2025/01/01－2025/12/31)
E01047,4967,S100XSXS,小林製薬株式会社,2025-12-31,2026-03-25,有価証券報告書－第108期(2025/01/01－2025/12/31)
E00315,1718,S100XTPB,美樹工業株式会社,2025-12-31,2026-03-25,有価証券報告書－第64期(2025/01/01－2025/12/31)
E04816,9755,S100XTJV,応用地質株式会社,2025-12-31,2026-03-25,有価証券報告書－第69期(2025/01/01－2025/12/31)
E02861,7531,S100XSS6,清和中央ホールディングス株式会社,2025-12-31,2026-03-25,有価証券報告書－第72期(2025/01/01－2025/12/31)
E02877,7228,S100XSX2,株式会社デイトナ,2025-12-31,2026-03-25,有価証券報告書－第54期(2025/01/01－2025/12/31)
E39136,5868,S100XSJ5,株式会社ロココ,2025-12-31,2026-03-25,有価証券報告書－第32期(2025/01/01－2025/12/31)
E22663,2193,S100XTNM,クックパッド株式会社,2025-12-31,2026-03-25,有価証券報告書－第29期(2025/01/01－2025/12/31)
E04516,9543,S100XTDX,静岡ガス株式会社,2025-12-31,2026-03-25,有価証券報告書－第178期(2025/01/01－2025/12/31)
E00708,3948,S100XSVY,光ビジネスフォーム株式会社,2025-12-31,2026-03-25,有価証券報告書－第58期(2025/01/01－2025/12/31)
E25283,3649,S100XTNK,株式会社ファインデックス,2025-12-31,2026-03-25,有価証券報告書－第41期(2025/01/01－2025/12/31)
E01223,5310,S100XTP9,東洋炭素株式会社,2025-12-31,2026-03-25,有価証券報告書－第84期(2025/01/01－2025/12/31)
E00133,1897,S100XT0W,金下建設株式会社,2025-12-31,2026-03-25,有価証券報告書－第75期(2025/01/01－2025/12/31)
E32642,4189,S100XT28,ＫＨネオケム株式会社,2025-12-31,2026-03-25,有価証券報告書－第16期(2025/01/01－2025/12/31)
E05533,2461,S100XRYY,株式会社ファンコミュニケーションズ,2025-12-31,2026-03-25,有価証券報告書－第27期(2025/01/01－2025/12/31)
E04603,9672,S100XTJA,東京都競馬株式会社,2025-12-31,2026-03-25,有価証券報告書－第102期(2025/01/01－2025/12/31)
E35139,7081,S100XTYD,コーユーレンティア株式会社,2025-12-31,2026-03-25,有価証券報告書－第56期(2025/01/01－2025/12/31)
E32601,6533,S100XTR2,株式会社Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,2025-12-31,2026-03-25,有価証券報告書－第17期(2025/01/01－2025/12/31)
E38178,9339,S100XTSA,株式会社コーチ・エィ,2025-12-31,2026-03-25,有価証券報告書－第25期(2025/01/01－2025/12/31)
E33579,3486,S100XU06,株式会社グローバル・リンク・マネジメント,2025-12-31,2026-03-25,有価証券報告書－第21期(2025/01/01－2025/12/31)
