sec_code,beta,beta_obs
4792,0.23262972778708882,60
4801,0.19336252744552088,60
4809,0.29749023454861245,60
4812,0.13210576275599584,60
4813,0.9602226654199284,60
4819,-0.18794842315975785,60
4820,0.6966219610906551,60
4825,0.8684767191526335,60
4826,1.1004642284017248,60
4828,0.5087704794399504,60
4839,0.3266421343625294,60
4847,1.002257906788456,60
4848,0.25537769990983683,60
4849,1.0456938308959276,60
4886,0.7194692595042925,60
4887,0.0988796715282301,60
4901,0.982072353506729,60
4902,1.29936168625534,60
4911,0.6577876555233244,60
4912,-0.06611235973147134,60
4914,0.06663560670273433,60
4919,0.3159935699226054,60
4922,0.23032486612525094,60
4927,0.5304806160845397,60
4928,0.19515809225108868,60
4931,0.19977296233435593,60
4933,0.3037303796389962,60
4951,0.322476784758767,60
4956,0.8492028911604586,60
4958,0.3986638015939584,60
4967,-0.030884094564423516,60
4968,1.0294422460132342,60
4971,2.0519796357945825,60
4973,0.9985889026732225,60
4975,1.4063532212171008,60
4980,2.0568402401189863,60
4985,0.3542287216957591,60
4996,0.2489165887223253,60
4997,0.7547120425618061,60
5011,0.6359522417882522,60
5016,,17
5019,1.0276793531164639,60
5020,0.900400023532902,60
5021,0.5936992366585218,60
5032,0.6339453810389792,50
5036,0.6137538415627254,48
5074,2.2835283373323403,60
5076,1.054570750150786,58
5101,1.8422630210274114,60
5105,1.3985304158872591,60
5108,1.0424094320169885,60
5110,1.2226279451015847,60
5121,1.2507743749801492,60
5122,0.5029418252616845,60
5142,0.8993858491569781,60
5185,1.0574772390735196,60
5186,0.9231326801776879,60
5192,0.7235377058927627,60
5195,1.2635838430032815,60
5201,1.1447782194845801,60
5202,1.031482300723017,60
5208,1.0747369025639129,60
5214,0.6433895779361817,60
5232,0.7338760348980161,60
5233,1.039383690099756,60
5261,0.5236558411278391,60
5262,0.5276428595060606,60
5269,1.0957812175948962,60
5288,0.9260540575353231,60
5301,1.1461754745319082,60
5302,0.84885754752851,60
5310,1.6062720275052556,60
5331,1.4188813235245274,60
5332,0.9923110819482727,60
5333,1.4396686416040971,60
5334,1.3039726736891575,60
5344,1.7127134341020502,60
5351,1.1862969347555639,60
5357,0.5034337967335049,60
5384,1.7603340830180374,60
5393,1.066479022151605,60
5401,0.7394995366917257,60
5406,0.9622855082694822,60
5408,0.3885055689237439,60
5410,0.7569638537218303,60
5411,1.1501404644066278,60
5423,0.40402321367558724,60
543A,1.2429508931110547,60
5440,0.7235093955989526,60
5444,0.7123498949711679,60
5445,1.1059248991609532,60
5451,0.6066117912098331,60
5461,0.3496230562493218,44
5463,0.6809964933578858,60
5471,1.591733265740768,60
5480,1.2091167072086393,60
5482,0.9316150868259043,60
5535,0.536796161299617,34
5541,1.0965876798716667,60
5563,1.2953323432969073,60
5602,0.8628673514917076,60
5631,1.1358255067388912,60
5632,1.3071184904852446,60
5659,1.0992569590142782,60
5702,1.408197340346625,60
5703,1.0423218990924765,60
5706,2.786465312146623,60
5707,0.8425054439690629,60
5711,1.5646964988596423,60
5713,1.5219312441389659,60
5714,1.3135026931346396,60
5715,0.9798775750111562,60
5726,1.2623985090128995,60
5741,1.4691729686273591,60
5757,0.7989892104177333,60
